step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,alert_count,grazing_count,travelling_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
0,abundant,110.75193453630834,70.67881104927864,13.53110408827053,0.44446481041560343,3.8314564831383486,1240.17271847152,1.1302482602128272,2,0,24,16,0,0.1294387308712049,0.8497628173960416,0.008400000000000001,0.3026539512819261,99.99991919387183,81.98162791333128,1.2272301143761753e-05,0.0,32.101638189242415,155.39762885311671
1,abundant,110.783067729799,70.73794851953386,13.595639858743336,0.43408994398029604,3.824357433081764,1249.0891910518185,1.1366563726305798,2,0,22,18,0,0.16164355434197963,0.8494706094862654,0.007700000000000001,0.30259180862364876,99.99984353828512,81.96479497172632,2.3521484411373726e-05,0.0,32.101638189242415,143.34747864270747
2,abundant,110.81654766398783,70.79801153277046,13.674743414626722,0.4048574209887121,3.8032409925459705,1260.2255076755391,1.1412938385477762,2,0,22,18,0,0.18343767223365784,0.8491544280468084,0.007700000000000001,0.30252966626541145,99.99974895220737,81.94796211139493,3.477027708912558e-05,0.0,32.101638189242415,144.29759053543066
3,abundant,110.84639138692822,70.86099841185361,13.765174643750669,0.3829327809572133,3.7725747639551157,1272.5816078236458,1.1381951488441424,2,0,21,19,0,0.20253470947392413,0.848807439866387,0.007350000000000001,0.30247036510271424,99.99959853144415,81.93189886214782,4.550733330958914e-05,0.0,32.101638189242415,137.7848935921922
4,abundant,110.87944669075553,70.92599069571314,13.860383486437058,0.38565075880200145,3.740319720102478,1285.8618881780712,1.1336541822694763,2,0,21,19,0,0.22005534495606263,0.8484411789869354,0.007350000000000001,0.30241106422383446,99.99936073704335,81.91583568977995,5.6244016722073e-05,0.0,32.101638189242415,144.87605167909607
5,abundant,110.91076964095592,70.99705193660554,13.962147230966204,0.3960685636957241,3.702058692286779,1298.946219228248,1.1277526947039878,2,0,20,20,0,0.23684580831897248,0.8480466485977844,0.007000000000000001,0.30235460451868024,99.99906860541562,81.90054212258731,6.646898145853158e-05,0.0,32.101638189242415,137.04031658078475
6,abundant,110.94107711056029,71.070594730493,14.071921251197494,0.3893833577134783,3.6864059339870145,1311.7927819393444,1.1207599096666898,2,0,20,20,0,0.25340460336175985,0.8476339035340864,0.007000000000000001,0.3022981450767112,99.99871715400288,81.88524862668515,7.669359116765608e-05,0.0,32.101638189242415,138.45792663403037
7,abundant,110.97638129604752,71.14575162827332,14.190454619382411,0.399528836056136,3.706705495568567,1330.1751393692684,1.1129231157477868,2,0,20,20,0,0.2687242594376042,0.847204306848705,0.007000000000000001,0.3022416858940113,99.9983069620264,81.86995520101273,8.69178458617736e-05,0.0,32.101638189242415,128.7941960291511
8,abundant,111.01058934965742,71.22435350314731,14.31673635657728,0.40274162848914286,3.7537664053885793,1353.8359869493725,1.1044670017544589,2,0,19,21,0,0.28483072081927335,0.8467471930558039,0.0066500000000000005,0.3021880678787653,99.99792777526173,81.85543137881669,9.66303996722208e-05,0.0,32.101638189242415,128.33512190655136
9,abundant,111.04004483052788,71.30397427768945,14.453806596106023,0.3845286509855107,3.805778392699016,1378.5484468703653,1.095302350556433,2,0,19,21,0,0.3000929630992009,0.8462732907963947,0.0066500000000000005,0.30213445012311857,99.99755579167454,81.8409076269398,0.00010634261624707105,0.0,32.101638189242415,138.90760232856422
10,abundant,111.0672565353284,71.37654669434559,14.598232509796233,0.32210509770917106,3.871660899904973,1405.171624782437,1.0856469815058003,2,0,19,21,0,0.3127146615569238,0.845785504668682,0.0066500000000000005,0.30208083262513163,99.99712518577924,81.82638394485672,0.00011605449559803375,0.0,32.101638189242415,150.68348418157024
11,abundant,111.09336636714104,71.4511999626466,14.74800061425012,0.33104904552300135,3.9725866470212923,1432.5696681051522,1.0756521394556198,2,0,19,21,0,0.32735919034663813,0.8452816095593008,0.0066500000000000005,0.30202721538310273,99.99670346977881,81.81186033210646,0.0001257660377368178,0.0,32.101638189242415,133.74698737186728
12,abundant,111.11757531516635,71.52541585352546,14.91378976528961,0.3218009167182633,4.003675521326497,1461.2285579007003,1.0655133690541998,2,0,19,21,0,0.3394168034861731,0.844764451075466,0.0066500000000000005,0.30197359839506327,99.99627700981604,81.79733678815579,0.00013547724267513184,0.0,32.101638189242415,139.5449884350205
13,abundant,111.13899973865867,71.60478011023893,15.088898794595952,0.3410309013706679,4.019148098211542,1491.0163102646293,1.0553729313711833,2,0,19,21,0,0.3519731490085031,0.8442334806115566,0.0066500000000000005,0.30191998166572864,99.99587421046226,81.78281331428201,0.00014518811042468397,0.0,32.101638189242415,131.97493415618368
14,abundant,111.16085489737459,71.67980162109579,15.27045950821178,0.309926374094164,4.041950956716657,1523.2460411919128,1.0540465163432706,2,0,19,21,0,0.3631777432906999,0.8436901850939368,0.0066500000000000005,0.3018663651959161,99.995422008009,81.76828991070647,0.00015489864099718192,0.0,32.101638189242415,132.0107454777097
15,abundant,111.17954139137203,71.74977263470473,15.462596658274801,0.2717468007522504,4.058017037747018,1560.6673186349726,1.0527187097216029,2,0,19,21,0,0.37497814791144235,0.8431339091312342,0.0066500000000000005,0.3018127489846899,99.99490627555758,81.75376657717572,0.00016460883440433304,0.0,32.101638189242415,140.00917431416283
