step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
0,abundant,110.62682287579344,70.30741904082274,13.246511125681977,0.48635694365797505,4.090577500224247,1612.0227414687688,0.8966799672027906,4,40,0,0,0,0,0.16932657046251956,0.8498757407724911,0.014000000000000002,0.30260849683966196,99.99986523856889,81.96931540540953,2.045383523960292e-05,0.0,32.101638189242415,125.15408639209693
1,abundant,110.66490233779182,70.39283688484225,13.317181665900813,0.5109924412959167,4.103670453010312,1617.2690892718492,0.8982695930588684,4,40,0,0,0,0,0.18088998580994903,0.8497387617881003,0.014000000000000002,0.30249521805542195,99.99970461139402,81.9386309253269,4.090696028892312e-05,0.0,32.101638189242415,122.84929503531548
2,abundant,110.69604683962977,70.46830327737229,13.400203914371605,0.44336778421903944,4.114599531018198,1622.3780181251168,0.9000594095238865,4,40,0,0,0,0,0.18234716995405806,0.8496001799011508,0.014000000000000002,0.3023819396941827,99.99941928354926,81.90794655982494,6.135937517261957e-05,0.0,32.101638189242415,108.18021855208136
3,abundant,110.73228591603242,70.53893946118482,13.495674300469867,0.429754590501028,4.109819647213884,1628.323152702931,0.900961567981261,4,39,1,0,0,0,0.18398212150931142,0.8494499995674903,0.01365,0.30227150265684144,99.99898077613986,81.87803184017626,8.129973403436025e-05,0.0,32.101638189242415,112.66819487624491
4,abundant,110.75883106473646,70.61459868701591,13.576455589265668,0.42865410949371335,4.115793924077696,1634.1376382722592,0.9040225931885207,4,39,1,0,0,0,0.1840304051889012,0.8492997661217826,0.01365,0.30216106603640147,99.9983526261989,81.84811723345605,0.00010123940053454959,0.0,32.101638189242415,133.0253227572179
5,abundant,110.78324655814194,70.67789503489712,13.681270578560998,0.37485879125719557,4.122177673002198,1642.8090349147278,0.90425240030262,4,39,1,0,0,0,0.18425209717793653,0.8491492888148867,0.01365,0.3020506298288976,99.99758702335933,81.81820273859023,0.0001211783746972275,0.0,32.101638189242415,154.74189285097927
6,abundant,110.8003766538473,70.72729824761119,13.779821607850451,0.2788126785311221,4.130977711627895,1651.6763595974408,0.9017825841770531,4,38,2,0,0,0,0.18595242883075175,0.8489871411431729,0.013300000000000001,0.30194303494262376,99.99665106685951,81.78905788885503,0.00014060531066544294,0.0,32.101638189242415,147.11078986640615
7,abundant,110.81984088961326,70.79036167104911,13.892119982152474,0.3708172920835441,4.149081038254576,1657.5325695807878,0.8967441041265833,4,34,6,0,0,0,0.1937363095485331,0.8487772312026693,0.011899999999999999,0.30184680407503484,99.99593330954511,81.76299127664977,0.0001579861885750211,0.0,32.101638189242415,139.3875717704979
8,abundant,110.83086287680851,70.84837050965112,14.011259674999517,0.31420331630923526,4.153694453202702,1668.0907107641615,0.8950944148113058,4,32,8,0,0,0,0.2007870504191648,0.8485399654472083,0.011200000000000002,0.3017562553971496,99.99527912854846,81.73846383206501,0.00017434377123039122,0.0,32.101638189242415,138.50863938261438
9,abundant,110.84031769216469,70.90570039173217,14.152379895916733,0.3212652646341953,4.159013700253768,1680.5956104315555,0.8930421155707124,4,31,9,0,0,0,0.20607828751615226,0.8482870793309404,0.010850000000000002,0.3016685479913785,99.9946923041965,81.71470601930653,0.0001901894400430118,0.0,32.101638189242415,144.4128582070319
