step,scenario,centroid_x,centroid_y,spread,polarization,mean_nearest_neighbour_distance,convex_hull_area,elongation_ratio,number_of_clusters,grazing_count,walking_count,travelling_count,regrouping_count,resting_count,mean_speed,mean_energy,mean_food_intake,field_mean_food,field_health_pct,field_biomass_pct,mean_grazing_pressure,degraded_area_pct,mean_ndvi_pct,mean_azimuth_deg
0,scarce,109.42263787490894,67.14246282664918,18.321687531055385,0.13291818225056554,5.212281520227215,2571.304372543942,0.7232755307073618,6,0,0,40,0,0,0.24706575039694822,0.8493982276745633,0.0,0.05111880704094851,100.0,46.00007820767078,0.0,0.0,24.325666783590812,216.8062134463199
1,scarce,109.3943056185424,67.08784033617663,18.334472087521153,0.19281336844217867,5.169120969068364,2555.380169253349,0.7209690080732217,6,0,0,40,0,0,0.3118128072393788,0.8487252335866,0.0,0.05111889395114932,100.0,46.00015641520858,0.0,0.0,24.325666783590812,216.27824802620154
2,scarce,109.34197786766603,67.00927234191823,18.3603499476428,0.24738048276724273,5.11553339102456,2537.4607315242392,0.7185565464860606,5,0,0,40,0,0,0.3703925362964805,0.8479878017966739,0.0,0.05111898086120238,100.0,46.00023462261344,0.0,0.0,24.325666783590812,215.98301627358987
3,scarce,109.26409496736372,66.90719135994036,18.400360038894785,0.2944450346657369,5.024998131233829,2517.8806263846927,0.7161361493944772,5,0,0,40,0,0,0.42359123322853803,0.8471918514401227,0.0,0.05111906777110769,100.0,46.00031282988533,0.0,0.0,24.325666783590812,215.6575736221017
4,scarce,109.15899865151528,66.7796303241736,18.45429824798469,0.34211591954770526,4.976218488029047,2497.2242649479485,0.7137705772810584,5,0,0,40,0,0,0.47106563215026453,0.8463436792447572,0.0,0.051119154680865225,100.0,46.00039103702425,0.0,0.0,24.325666783590812,215.47041911797464
5,scarce,109.02691466924652,66.6286861250038,18.524813843901676,0.3817353477803318,4.9296591484837675,2475.7560388687743,0.7114902663345577,5,0,0,40,0,0,0.5143662107206535,0.8454478764129645,0.0,0.05111924159047502,100.0,46.00046924403022,0.0,0.0,24.325666783590812,215.2880921881487
6,scarce,108.86958948954404,66.45645765087345,18.610266301056143,0.41399181968375653,4.887676946883487,2453.390291583706,0.7092930820771611,5,0,0,40,0,0,0.5542512297190878,0.8445082000602735,0.0,0.051119328499937056,100.0,46.000547450903234,0.0,0.0,24.325666783590812,223.90870112989347
7,scarce,108.71039596572064,66.28405479028206,18.679415522792567,0.420422919943142,4.799015062839147,2419.960533123238,0.7058466783615361,6,0,0,34,6,0,0.5495173764608762,0.8435737309461665,0.0,0.051119415409251336,100.0,46.00062565764328,0.0,0.0,24.325666783590812,223.34549855888008
8,scarce,108.54285209821505,66.10225031424535,18.74747558680526,0.38659690098503335,4.745380025336759,2380.9205613052472,0.7012657165553338,6,0,0,34,6,0,0.5725043999254957,0.8426139761062486,0.0,0.05111950231841785,100.0,46.00070386425036,0.0,0.0,24.325666783590812,215.4850992708206
9,scarce,108.3707637155615,65.91610127957972,18.810505233404456,0.39167745346430594,4.6438726708206515,2328.4477735846376,0.695888116338387,5,0,0,33,7,0,0.5903850958494588,0.8416345525008142,0.0,0.05111958922743662,100.0,46.00078207072449,0.0,0.0,24.325666783590812,215.8205529247219
